z,bits,n
5.25,160,152
5.25,192,163
5.25,224,177
5.25,256,189
5.25,320,209
5.25,384,231
5.25,448,252
5.25,512,271
5.25,640,308
5.25,768,344
5.25,896,379
5.25,1024,412
5.25,1280,476
5.25,1536,538
5.25,1792,596
5.25,2048,653
5.25,2560,762
5.25,3072,867
5.25,3584,968
5.25,4096,1066
5.25,5120,1256
5.25,6144,1438
5.25,7168,1615
5.25,8192,1787
5.5,128,145
5.5,160,159
5.5,192,172
5.5,224,185
5.5,256,196
5.5,320,219
5.5,384,242
5.5,448,262
5.5,512,282
5.5,640,321
5.5,768,358
5.5,896,392
5.5,1024,427
5.5,1280,492
5.5,1536,554
5.5,1792,614
5.5,2048,672
5.5,2560,784
5.5,3072,891
5.5,3584,994
5.5,4096,1094
5.5,5120,1287
5.5,6144,1473
5.5,7168,1653
5.5,8192,1828
5.75,128,155
5.75,160,168
5.75,192,181
5.75,224,193
5.75,256,206
5.75,320,230
5.75,384,252
5.75,448,273
5.75,512,294
5.75,640,333
5.75,768,371
5.75,896,406
5.75,1024,441
5.75,1280,508
5.75,1536,572
5.75,1792,633
5.75,2048,692
5.75,2560,806
5.75,3072,915
5.75,3584,1020
5.75,4096,1121
5.75,5120,1318
5.75,6144,1508
5.75,7168,1690
5.75,8192,1869
6,128,162
6,160,176
6,192,190
6,224,203
6,256,216
6,320,240
6,384,264
6,448,284
6,512,306
6,640,346
6,768,384
6,896,421
6,1024,456
6,1280,525
6,1536,589
6,1792,651
6,2048,713
6,2560,827
6,3072,939
6,3584,1045
6,4096,1150
6,5120,1349
6,6144,1541
6,7168,1728
6,8192,1909
6.25,128,171
6.25,160,187
6.25,192,200
6.25,224,213
6.25,256,226
6.25,320,250
6.25,384,275
6.25,448,296
6.25,512,317
6.25,640,358
6.25,768,397
6.25,896,435
6.25,1024,471
6.25,1280,540
6.25,1536,606
6.25,1792,670
6.25,2048,731
6.25,2560,849
6.25,3072,963
6.25,3584,1071
6.25,4096,1178
6.25,5120,1380
6.25,6144,1576
6.25,7168,1765
6.25,8192,1948
6.5,128,180
6.5,160,195
6.5,192,209
6.5,224,223
6.5,256,237
6.5,320,261
6.5,384,285
6.5,448,307
6.5,512,329
6.5,640,372
6.5,768,411
6.5,896,450
6.5,1024,486
6.5,1280,557
6.5,1536,625
6.5,1792,689
6.5,2048,751
6.5,2560,873
6.5,3072,987
6.5,3584,1097
6.5,4096,1204
6.5,5120,1411
6.5,6144,1610
6.5,7168,1802
6.5,8192,1989
6.75,128,190
6.75,160,205
6.75,192,221
6.75,224,235
6.75,256,247
6.75,320,272
6.75,384,297
6.75,448,321
6.75,512,342
6.75,640,385
6.75,768,426
6.75,896,466
6.75,1024,502
6.75,1280,574
6.75,1536,642
6.75,1792,708
6.75,2048,772
6.75,2560,894
6.75,3072,1011
6.75,3584,1123
6.75,4096,1232
6.75,5120,1442
6.75,6144,1644
6.75,7168,1839
6.75,8192,2028
7,128,200
7,160,216
7,192,230
7,224,244
7,256,260
7,320,284
7,384,309
7,448,332
7,512,354
7,640,398
7,768,439
7,896,479
7,1024,517
7,1280,590
7,1536,660
7,1792,727
7,2048,792
7,2560,916
7,3072,1035
7,3584,1149
7,4096,1260
7,5120,1473
7,6144,1678
7,7168,1875
7,8192,2067
7.25,128,211
7.25,160,227
7.25,192,241
7.25,224,255
7.25,256,269
7.25,320,296
7.25,384,321
7.25,448,347
7.25,512,368
7.25,640,412
7.25,768,454
7.25,896,495
7.25,1024,533
7.25,1280,608
7.25,1536,679
7.25,1792,747
7.25,2048,812
7.25,2560,939
7.25,3072,1059
7.25,3584,1175
7.25,4096,1288
7.25,5120,1504
7.25,6144,1712
7.25,7168,1912
7.25,8192,2107
7.5,128,222
7.5,160,238
7.5,192,252
7.5,224,268
7.5,256,281
7.5,320,307
7.5,384,333
7.5,448,357
7.5,512,381
7.5,640,427
7.5,768,470
7.5,896,510
7.5,1024,549
7.5,1280,625
7.5,1536,697
7.5,1792,766
7.5,2048,834
7.5,2560,963
7.5,3072,1084
7.5,3584,1201
7.5,4096,1315
7.5,5120,1535
7.5,6144,1745
7.5,7168,1949
7.5,8192,2146
7.75,128,232
7.75,160,249
7.75,192,264
7.75,224,278
7.75,256,292
7.75,320,320
7.75,384,346
7.75,448,370
7.75,512,394
7.75,640,441
7.75,768,484
7.75,896,526
7.75,1024,566
7.75,1280,642
7.75,1536,715
7.75,1792,787
7.75,2048,855
7.75,2560,984
7.75,3072,1108
7.75,3584,1228
7.75,4096,1344
7.75,5120,1566
7.75,6144,1780
7.75,7168,1985
7.75,8192,2186
8,128,245
8,160,260
8,192,275
8,224,290
8,256,306
8,320,332
8,384,359
8,448,384
8,512,409
8,640,454
8,768,500
8,896,541
8,1024,582
8,1280,660
8,1536,734
8,1792,806
8,2048,875
8,2560,1006
8,3072,1133
8,3584,1254
8,4096,1372
8,5120,1597
8,6144,1814
8,7168,2022
8,8192,2225
