z,y_true,y_approx,mp_error,double_error
8.90703125E-05,7.8936509359941764331161371092612162e-5,7.893650935994175E-05,1.5860726341020899771572968406515295e-20,1.3552527156068805E-20
9.007031250000001E-05,7.9822736290978816106852829085799695e-5,7.982273629097881E-05,4.3864895561778253891755578870867316e-21,1.3552527156068805E-20
9.10703125E-05,8.0708963222141241134488266834618448e-5,8.070896322214124E-05,5.2880031146402001150345125805852733e-21,0
9.20703125E-05,8.1595190153430443506744223101409821e-5,8.159519015343044E-05,-3.5740783205420428669972590450098971e-22,0
9.30703125E-05,8.2481417084847815305684082162583057e-5,8.248141708484782E-05,-2.8254498186471319303554123944200741e-21,0
9.40703125E-05,8.3367644016394748613372637591034755e-5,8.336764401639475E-05,-5.9443551266526450022621177267657931e-21,0
9.50703125E-05,8.4253870948072635511876107562891774e-5,8.425387094807264E-05,1.0172543087229995252540105979222184e-23,0
9.60703125E-05,8.514009787988288009387671086510007e-5,8.514009787988287E-05,9.6679911782036748113748820116840119e-21,0
9.70703125E-05,8.6026324811826850420214441220701779e-5,8.602632481182686E-05,-4.8203563026672272051667435167571319e-21,0
9.80703125E-05,8.6912551743905950583574441353766831e-5,8.691255174390593E-05,1.8937626792386856794024193058607264e-20,2.710505431213761E-20
9.90703125E-05,8.7798778676121572666028780920772998e-5,8.779877867612155E-05,2.2903606833660224093500190068150627e-20,1.3552527156068805E-20
0.00010007031250000001,8.8685005608475120760265598816857414e-5,8.868500560847512E-05,1.7074477288922476189209884971817367e-21,0
0.0001010703125,8.9571232540967962927130847973086487e-5,8.957123254096794E-05,2.2367388448408672969208446035813068e-20,2.710505431213761E-20
0.0001020703125,9.0457459473601503259315713600201313e-5,9.04574594736015E-05,-1.8018669901483555191134456576449226e-21,0
0.0001030703125,9.1343686406377133838898361742920395e-5,9.134368640637713E-05,6.6866254405917544213157529723272162e-21,0
0.0001040703125,9.2229913339296246747958520809880525e-5,9.222991333929623E-05,1.6899594081813069947684800075421202e-20,1.3552527156068805E-20
0.0001050703125,9.3116140272360234068577496880380115e-5,9.311614027236022E-05,1.145629600843912526428781277968045e-20,1.3552527156068805E-20
0.0001060703125,9.4002367205570499893452768780125539e-5,9.400236720557049E-05,1.209165878027747338428467235411634e-20,1.3552527156068805E-20
0.0001070703125,9.4888594138928412283439686322542682e-5,9.488859413892842E-05,-9.0437593279454185923474648268367863e-21,-1.3552527156068805E-20
0.0001080703125,9.5774821072435375331238958216664482e-5,9.577482107243538E-05,-3.1099732144010602364045078627254234e-21,0
0.0001090703125,9.6661048006092781118938354291870061e-5,9.666104800609277E-05,1.2512280659584163364658288137791043e-20,1.3552527156068805E-20
0.0001100703125,9.7547274939902033739241886506437736e-5,9.754727493990204E-05,-8.2046993933936499574959745891569136e-21,-1.3552527156068805E-20
0.0001110703125,9.8433501873864501253011474642252591e-5,9.843350187386451E-05,-1.179518559222674135249459231404067e-20,-1.3552527156068805E-20
0.0001120703125,9.9319728807981587752954482919403075e-5,9.931972880798158E-05,9.9232323522180188438661340033239901e-21,1.3552527156068805E-20
0.0001130703125,1.00205955742254685321165389825246e-4,0.00010020595574225467,1.2464770375134612380685015996137559e-20,1.3552527156068805E-20
0.0001140703125,1.0109218267668518603974038927849185e-4,0.00010109218267668517,1.9106281907492401813120223874954368e-20,2.710505431213761E-20
0.0001150703125,1.019784096112744940013920044793556e-4,0.00010197840961127448,1.0925128085267032482141519002627711e-20,1.3552527156068805E-20
0.0001160703125,1.0286463654602397726699071122304859e-4,0.00010286463654602396,1.4281990933441978641746031389234059e-20,1.3552527156068805E-20
0.0001170703125,1.0375086348093503992925253794470255e-4,0.00010375086348093503,1.0254235093227802379853802343829663e-20,1.3552527156068805E-20
0.0001180703125,1.0463709041600907407028069335588119e-4,0.00010463709041600907,8.5661938543179140512085530469712997e-21,1.3552527156068805E-20
0.0001190703125,1.055233173512474717721801781332214e-4,0.00010552331735124748,-8.1628520137668136580075143152858419e-21,-1.3552527156068805E-20
0.0001200703125,1.0640954428665163712767240985912686e-4,0.0001064095442866516,3.601215761181309126179973978910815e-20,4.0657581468206416E-20
0.0001210703125,1.0729577122222293819763680206742114e-4,0.00010729577122222292,1.8374114977022855635501873347621187e-20,1.3552527156068805E-20
0.0001220703125,1.0818199815796277907479843054853378e-4,0.00010818199815796278,1.3155567068411719076504177637517911e-21,0
0.0001230703125,1.0906822509387255184126961690683543e-4,0.00010906822509387256,-5.4391747961457426249533011694179886e-21,0
0.0001240703125,1.0995445202995364857916455124549071e-4,0.00010995445202995365,-5.7182624169216821312257651405493666e-21,0
0.0001250703125,1.1084067896620746137059930747320251e-4,0.00011084067896620746,-3.3498871566649025071527259815679094e-21,0
0.0001260703125,1.1172690590263538229769185861095636e-4,0.00011172690590263538,-2.1622281174413770085505998496100248e-21,0
0.0001270703125,1.1261313283923882746379134400494639e-4,0.00011261313283923882,4.4852396089393242926416121661705341e-21,0
0.0001280703125,1.1349935977601914090856108182213526e-4,0.00011349935977601914,5.3794637337636215469594318963793918e-21,0
0.0001290703125,1.1438558671297773873535408139119556e-4,0.00011438558671297776,-1.9944081276933187727248522070207977e-20,-2.710505431213761E-20
0.0001300703125,1.1527181365011601302629606524968813e-4,0.00011527181365011603,-2.1103458151425279763291215748431249e-20,-2.710505431213761E-20
0.0001310703125,1.1615804058743535586351473158117912e-4,0.00011615804058743534,1.1625690889452758227178027892587905e-20,1.3552527156068805E-20
0.0001320703125,1.1704426752493715932913976952198467e-4,0.00011704426752493715,6.6525626794062564773989117520795826e-21,1.3552527156068805E-20
0.0001330703125,1.1793049446262281550530287446791569e-4,0.0001179304944626228,1.4359100463019288797159132410173925e-20,1.3552527156068805E-20
0.0001340703125,1.1881672140049371647413776338102262e-4,0.00011881672140049371,3.8120865700293360088303948179287152e-21,0
0.0001350703125,1.1970294833855125431778019009634035e-4,0.00011970294833855126,-1.7115860086779149316534307331077027e-21,0
0.0001360703125,1.2058917527679682111836796062863314e-4,0.00012058917527679684,-1.9592603698243463982357174733056397e-20,-1.3552527156068805E-20
0.0001370703125,1.2147540221523183297927025021869818e-4,0.00012147540221523184,-2.5328400863758618828511328810157349e-21,0
0.0001380703125,1.2236162915385763394017041687274253e-4,0.00012236162915385765,-1.5955436046224665795301825142443691e-20,-2.710505431213761E-20
0.0001390703125,1.2324785609267564010444181157161347e-4,0.00012324785609267564,9.9026616631042907415670962474602534e-22,0
0.0001400703125,1.2413408303168724355423060211644318e-4,0.00012413408303168727,-2.3286520136400431030552526225466926e-20,-2.710505431213761E-20
0.0001410703125,1.2502030997089383637168508502181868e-4,0.00012502030997089383,2.2537463595520201233536294055873706e-21,0
0.0001420703125,1.2590653691029681063895570082252719e-4,0.0001259065369102968,6.0202832392715838408321014122075425e-21,0
0.0001430703125,1.2679276384989755843819504938030146e-4,0.00012679276384989756,-2.2625268163981605026683288509519059e-21,0
0.0001440703125,1.2767899078969747185155790519056513e-4,0.00012767899078969748,-1.2870298951979942603580638443007137e-20,-2.710505431213761E-20
0.0001450703125,1.2856521772969794296120123268917828e-4,0.00012856521772969793,1.1026408190081555090127430451205759e-20,2.710505431213761E-20
0.0001460703125,1.294514446699003638492842015591829e-4,0.00012945144466990037,-2.1631790759616113394117493578860488e-21,0
0.0001470703125,1.3033767161030615061919755738373035e-4,0.00013033767161030617,-1.8693439923544443880325062758444353e-20,0
0.0001480703125,1.312238985509166473106462211362905e-4,0.00013122389855091667,-2.2672330726436404324638726879679016e-20,-2.710505431213761E-20
0.0001490703125,1.3211012549173327002702541989764842e-4,0.00013211012549173328,-7.4592804887124718251045818839222241e-21,0
0.0001500703125,1.329963524327574108505032974070304e-4,0.0001329963524327574,9.5650547022108157134026863894185929e-21,2.710505431213761E-20
0.0001510703125,1.3388257937399046186325027918457329e-4,0.00013388257937399045,1.1020021040697830931123452473023905e-20,0
0.0001520703125,1.3476880631543381514743908783807041e-4,0.0001347688063154338,6.6300213303382137797979747509387931e-21,0
